GPU,April 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$2,300",66
GeForce RTX 3090 ,"$1,770",999
GeForce RTX 3080 Ti ,"$1,291",665
GeForce RTX 3080 12GB ,"$1,025",90
GeForce RTX 3080 ,"$1,114",1419
GeForce RTX 3070 Ti ,$779,1037
GeForce RTX 3070 ,$777,1709
GeForce RTX 3060 Ti ,$657,1747
GeForce RTX 3060 12GB ,$480,589
GeForce RTX 3050 ,$356,98
Radeon RX 6900 XT ,"$1,059",186
Radeon RX 6800 XT ,$845,326
Radeon RX 6800 ,$755,198
Radeon RX 6700 XT ,$554,628
Radeon RX 6600 XT ,$422,410
Radeon RX 6600 ,$365,400
Radeon RX 6500 XT ,$221,61
GeForce RTX 2080 Ti ,$781,378
GeForce RTX 2080 Super ,$568,232
GeForce RTX 2080 ,$498,220
GeForce RTX 2070 Super ,$484,407
GeForce RTX 2070 ,$419,243
GeForce RTX 2060 Super ,$445,238
GeForce RTX 2060 ,$315,708
GeForce GTX 1660 Ti ,$303,317
GeForce GTX 1660 Super ,$317,764
GeForce GTX 1660 ,$257,201
GeForce GTX 1650 Super ,$203,138
GeForce GTX 1650 ,$194,434
Radeon RX 5700 XT ,$550,1004
Radeon RX 5700 ,$489,167
Radeon RX 5600 XT ,$358,355
Radeon RX 5500 XT 8GB ,$249,87
Radeon RX 5500 XT 4GB ,$179,40
