GPU,December 2021(Avg Price),QTY Sold
GeForce RTX 3090 ,"$2,918",1295
GeForce RTX 3080 Ti ,"$1,992",1141
GeForce RTX 3080 ,"$1,783",1495
GeForce RTX 3070 Ti ,"$1,244",1063
GeForce RTX 3070 ,"$1,179",1891
GeForce RTX 3060 Ti ,"$1,007",2796
GeForce RTX 3060 12GB ,$761,2020
Radeon RX 6900 XT ,"$1,527",236
Radeon RX 6800 XT ,"$1,387",234
Radeon RX 6800 ,"$1,282",90
Radeon RX 6700 XT ,$898,584
Radeon RX 6600 XT ,$659,282
Radeon RX 6600 ,$578,346
GeForce RTX 2080 Ti ,"$1,186",339
GeForce RTX 2080 Super ,$849,166
GeForce RTX 2080 ,$776,174
GeForce RTX 2070 Super ,$759,285
GeForce RTX 2070 ,$686,195
GeForce RTX 2060 Super ,$705,192
GeForce RTX 2060 ,$574,493
GeForce GTX 1660 Ti ,$500,353
GeForce GTX 1660 Super ,$540,903
GeForce GTX 1660 ,$430,233
GeForce GTX 1650 Super ,$334,314
GeForce GTX 1650 ,$318,490
Radeon RX 5700 XT ,$933,953
Radeon RX 5700 ,$886,112
Radeon RX 5600 XT ,$626,173
Radeon RX 5500 XT 8GB ,$459,65
Radeon RX 5500 XT 4GB ,$340,35
