GPU,June 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$1,538",107
GeForce RTX 3090 ,"$1,098",885
GeForce RTX 3080 Ti ,$956,499
GeForce RTX 3080 12GB ,$835,40
GeForce RTX 3080 ,$728,1134
GeForce RTX 3070 Ti ,$620,634
GeForce RTX 3070 ,$518,1472
GeForce RTX 3060 Ti ,$461,1324
GeForce RTX 3060 ,$379,646
GeForce RTX 3050 ,$304,124
Radeon RX 6950 XT ,"$1,069",10
Radeon RX 6900 XT ,$767,176
Radeon RX 6800 XT ,$625,228
Radeon RX 6800 ,$551,148
Radeon RX 6750 XT ,$513,5
Radeon RX 6700 XT ,$407,421
Radeon RX 6650 XT ,$368,43
Radeon RX 6600 XT ,$299,417
Radeon RX 6600 ,$258,221
Radeon RX 6500 XT ,$171,52
Radeon RX 6400 ,$153,3
GeForce RTX 2080 Ti ,$564,292
GeForce RTX 2080 Super ,$407,174
GeForce RTX 2080 ,$348,157
GeForce RTX 2070 Super ,$342,305
GeForce RTX 2070 ,$310,157
GeForce RTX 2060 Super ,$298,153
GeForce RTX 2060 ,$241,328
GeForce GTX 1660 Ti ,$200,193
GeForce GTX 1660 Super ,$201,506
GeForce GTX 1660 ,$174,76
GeForce GTX 1650 Super ,$171,82
GeForce GTX 1650 ,$155,316
Radeon RX 5700 XT ,$314,725
Radeon RX 5700 ,$286,133
Radeon RX 5600 XT ,$215,74
Radeon RX 5500 XT 8GB ,$174,31
Radeon RX 5500 XT 4GB ,$156,22
