GPU,March 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$2,724",11
GeForce RTX 3090 ,"$2,111",983
GeForce RTX 3080 Ti ,"$1,531",687
GeForce RTX 3080 12GB ,"$1,378",69
GeForce RTX 3080 ,"$1,283",1355
GeForce RTX 3070 Ti ,$880,1097
GeForce RTX 3070 ,$858,1567
GeForce RTX 3060 Ti ,$754,1935
GeForce RTX 3060 12GB ,$580,1135
GeForce RTX 3050 ,$416,221
Radeon RX 6900 XT ,"$1,256",173
Radeon RX 6800 XT ,$996,254
Radeon RX 6800 ,$888,98
Radeon RX 6700 XT ,$643,570
Radeon RX 6600 XT ,$495,485
Radeon RX 6600 ,$403,274
Radeon RX 6500 XT ,$237,69
GeForce RTX 2080 Ti ,$889,348
GeForce RTX 2080 Super ,$690,177
GeForce RTX 2080 ,$625,173
GeForce RTX 2070 Super ,$563,359
GeForce RTX 2070 ,$511,208
GeForce RTX 2060 Super ,$512,269
GeForce RTX 2060 ,$380,429
GeForce GTX 1660 Ti ,$353,264
GeForce GTX 1660 Super ,$360,977
GeForce GTX 1660 ,$303,191
GeForce GTX 1650 Super ,$240,203
GeForce GTX 1650 ,$223,450
Radeon RX 5700 XT ,$602,964
Radeon RX 5700 ,$564,146
Radeon RX 5600 XT ,$414,227
Radeon RX 5500 XT 8GB ,$292,77
Radeon RX 5500 XT 4GB ,$225,15
