GPU,May 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$1,829",44
GeForce RTX 3090 ,"$1,438",754
GeForce RTX 3080 Ti ,"$1,134",617
GeForce RTX 3080 12GB ,$959,69
GeForce RTX 3080 ,$899,1197
GeForce RTX 3070 Ti ,$710,850
GeForce RTX 3070 ,$641,1364
GeForce RTX 3060 Ti ,$579,1558
GeForce RTX 3060 ,$424,804
GeForce RTX 3050 ,$315,139
Radeon RX 6950 XT ,"$1,600",2
Radeon RX 6900 XT ,$875,172
Radeon RX 6800 XT ,$767,265
Radeon RX 6800 ,$655,154
Radeon RX 6750 XT ,$511,4
Radeon RX 6700 XT ,$477,389
Radeon RX 6650 XT ,$400,0
Radeon RX 6600 XT ,$350,375
Radeon RX 6600 ,$290,174
Radeon RX 6500 XT ,$192,49
Radeon RX 6400 ,$151,4
GeForce RTX 2080 Ti ,$686,349
GeForce RTX 2080 Super ,$498,178
GeForce RTX 2080 ,$430,170
GeForce RTX 2070 Super ,$409,336
GeForce RTX 2070 ,$365,216
GeForce RTX 2060 Super ,$370,163
GeForce RTX 2060 ,$282,441
GeForce GTX 1660 Ti ,$252,206
GeForce GTX 1660 Super ,$249,530
GeForce GTX 1660 ,$214,113
GeForce GTX 1650 Super ,$183,135
GeForce GTX 1650 ,$175,349
Radeon RX 5700 XT ,$449,883
Radeon RX 5700 ,$381,113
Radeon RX 5600 XT ,$294,189
Radeon RX 5500 XT 8GB ,$216,59
Radeon RX 5500 XT 4GB ,$160,29
