GPU,November 2021(Avg Price),QTY Sold
GeForce RTX 3090 ,"$2,936",1305
GeForce RTX 3080 Ti ,"$1,895",1483
GeForce RTX 3080 ,"$1,720",1448
GeForce RTX 3070 Ti ,"$1,201",1258
GeForce RTX 3070 ,"$1,193",2380
GeForce RTX 3060 Ti ,"$1,002",2166
GeForce RTX 3060 12GB ,$749,2159
Radeon RX 6900 XT ,"$1,599",206
Radeon RX 6800 XT ,"$1,384",283
Radeon RX 6800 ,"$1,332",123
Radeon RX 6700 XT ,$945,661
Radeon RX 6600 XT ,$665,857
Radeon RX 6600 ,$588,377
GeForce RTX 2080 Ti ,"$1,137",338
GeForce RTX 2080 Super ,$860,189
GeForce RTX 2080 ,$775,174
GeForce RTX 2070 Super ,$701,222
GeForce RTX 2070 ,$763,351
GeForce RTX 2060 Super ,$701,212
GeForce RTX 2060 ,$571,503
GeForce GTX 1660 Ti ,$532,266
GeForce GTX 1660 Super ,$558,755
GeForce GTX 1660 ,$457,317
GeForce GTX 1650 Super ,$333,340
GeForce GTX 1650 ,$308,544
Radeon RX 5700 XT ,$963,962
Radeon RX 5700 ,$872,123
Radeon RX 5600 XT ,$568,111
Radeon RX 5500 XT 8GB ,$466,64
Radeon RX 5500 XT 4GB ,$349,43
