GPU,October 2021(Avg Price),QTY Sold
GeForce RTX 3090 ,"$2,737",1463
GeForce RTX 3080 Ti ,"$1,829",1439
GeForce RTX 3080 ,"$1,666",1872
GeForce RTX 3070 Ti ,"$1,124",1508
GeForce RTX 3070 ,"$1,144",2411
GeForce RTX 3060 Ti ,$907,3782
GeForce RTX 3060 12GB ,$698,2446
Radeon RX 6900 XT ,"$1,512",302
Radeon RX 6800 XT ,"$1,314",285
Radeon RX 6800 ,"$1,260",191
Radeon RX 6700 XT ,$859,906
Radeon RX 6600 XT ,$631,1026
Radeon RX 6600 ,$559,106
GeForce RTX 2080 Ti ,"$1,097",338
GeForce RTX 2080 Super ,$811,212
GeForce RTX 2080 ,$743,187
GeForce RTX 2070 Super ,$666,254
GeForce RTX 2070 ,$727,364
GeForce RTX 2060 Super ,$667,260
GeForce RTX 2060 ,$534,446
GeForce GTX 1660 Ti ,$498,316
GeForce GTX 1660 Super ,$519,768
GeForce GTX 1660 ,$430,315
GeForce GTX 1650 Super ,$313,239
GeForce GTX 1650 ,$308,559
Radeon RX 5700 XT ,$911,1207
Radeon RX 5700 ,$818,131
Radeon RX 5600 XT ,$614,243
Radeon RX 5500 XT 8GB ,$415,106
Radeon RX 5500 XT 4GB ,$326,48
